timestep,average_reward,episode_return
100,-475.498046875,-47549.8046875
200,-1048.2005615234375,-104820.0546875
300,-1022.823974609375,-102282.3984375
400,-1036.374755859375,-103637.4765625
500,-992.0028076171875,-99200.28125
600,-1044.15771484375,-104415.7734375
700,-992.9623413085938,-99296.234375
800,-994.9453735351562,-99494.5390625
900,-1085.728271484375,-108572.828125
1000,-1081.3564453125,-108135.6484375
1100,-1041.4197998046875,-104141.984375
1200,-1040.11474609375,-104011.4765625
1300,-1041.9324951171875,-104193.25
1400,-974.5061645507812,-97450.6171875
1500,-1046.8616943359375,-104686.1640625
1600,-996.933349609375,-99693.3359375
1700,-1036.3409423828125,-103634.09375
1800,-28977.275390625,-2897727.5
1900,-974.7437744140625,-97474.375
2000,-1103.2322998046875,-110323.234375
2100,-1038.1119384765625,-103811.1953125
2200,-1029.2730712890625,-102927.3046875
2300,-1060.2830810546875,-106028.3125
2400,-1068.3095703125,-106830.953125
2500,-1076.62158203125,-107662.15625
2600,-1063.094970703125,-106309.5
2700,-1002.5982055664062,-100259.8203125
2800,-1068.2484130859375,-106824.8359375
2900,-1034.0152587890625,-103401.53125
3000,-1037.39013671875,-103739.015625
3100,-1046.7291259765625,-104672.9140625
3200,-1062.2208251953125,-106222.078125
3300,-1082.20361328125,-108220.359375
3400,-1030.03173828125,-103003.1796875
3500,-1074.846435546875,-107484.640625
3600,-1092.6507568359375,-109265.0703125
3700,-1074.7066650390625,-107470.6640625
3800,-1018.4717407226562,-101847.171875
3900,-1065.5341796875,-106553.4140625
4000,-1071.67919921875,-107167.921875
4100,-1090.606201171875,-109060.6171875
4200,-1068.971435546875,-106897.1484375
4300,-1125.9268798828125,-112592.6875
4400,-1053.618408203125,-105361.8359375
4500,-1052.8896484375,-105288.96875
4600,-1073.1597900390625,-107315.9765625
4700,-1016.146240234375,-101614.625
4800,-1067.1795654296875,-106717.9609375
4900,-1054.4434814453125,-105444.34375
5000,-1107.3306884765625,-110733.0703125
5100,-1050.4501953125,-105045.0234375
5200,-1100.7757568359375,-110077.5703125
5300,-1074.6492919921875,-107464.9296875
5400,-1097.4967041015625,-109749.671875
5500,-1064.3236083984375,-106432.359375
5600,-1082.484619140625,-108248.4609375
5700,-1031.6162109375,-103161.6171875
5800,-1052.63525390625,-105263.53125
5900,-1001.8847045898438,-100188.46875
6000,-974.0036010742188,-97400.359375
6100,-1014.744140625,-101474.4140625
6200,-1089.1968994140625,-108919.6953125
6300,-1056.8629150390625,-105686.296875
6400,-1052.7940673828125,-105279.40625
6500,-1025.68017578125,-102568.0234375
6600,-1044.6920166015625,-104469.203125
6700,-1101.2255859375,-110122.5546875
6800,-1043.7496337890625,-104374.9609375
6900,-1090.0758056640625,-109007.578125
7000,-1027.81494140625,-102781.4921875
7100,-1049.188232421875,-104918.828125
7200,-1099.8585205078125,-109985.8515625
7300,-1076.2891845703125,-107628.921875
7400,-1025.4371337890625,-102543.71875
7500,-1054.6357421875,-105463.578125
7600,-1057.8790283203125,-105787.8984375
7700,-1107.373779296875,-110737.375
7800,-1062.576171875,-106257.6171875
7900,-1062.355712890625,-106235.5703125
8000,-1064.7608642578125,-106476.0859375
8100,-1077.48779296875,-107748.78125
8200,-1013.190673828125,-101319.0703125
8300,-1059.5341796875,-105953.421875
8400,-1072.1658935546875,-107216.59375
8500,-1167.3870849609375,-116738.7109375
8600,-1082.63232421875,-108263.234375
8700,-1086.0802001953125,-108608.015625
8800,-1078.15966796875,-107815.9609375
8900,-1026.0877685546875,-102608.7734375
9000,-1038.87646484375,-103887.640625
9100,-1027.4810791015625,-102748.109375
9200,-1055.568359375,-105556.8359375
9300,-1102.64892578125,-110264.890625
9400,-1047.80615234375,-104780.609375
9500,-1064.2828369140625,-106428.2890625
9600,-1129.3790283203125,-112937.90625
9700,-1103.2802734375,-110328.0234375
9800,-1087.59326171875,-108759.3203125
9900,-1052.3480224609375,-105234.796875
10000,-1098.6973876953125,-109869.734375
