timestep,average_reward,episode_return
50,-157.66639709472656,-7883.31982421875
100,-33.611534118652344,-1680.57666015625
150,-84.57044982910156,-4228.5224609375
200,-108.71859741210938,-5435.9296875
250,-121.02238464355469,-6051.119140625
300,-199.7268524169922,-9986.3427734375
350,-68.32272338867188,-3416.13623046875
400,-58.130332946777344,-2906.5166015625
450,-200.6201629638672,-10031.0078125
500,-133.46109008789062,-6673.05419921875
550,-157.08575439453125,-7854.28759765625
600,-171.5536346435547,-8577.681640625
650,-179.38299560546875,-8969.1494140625
700,-138.52268981933594,-6926.134765625
750,-155.01585388183594,-7750.79296875
800,-157.70697021484375,-7885.3486328125
850,-134.56332397460938,-6728.166015625
900,-95.4590072631836,-4772.9501953125
950,-193.3903350830078,-9669.5166015625
1000,-149.7082061767578,-7485.41015625
1050,-47.351837158203125,-2367.591796875
1100,-164.32843017578125,-8216.421875
1150,-150.3350067138672,-7516.75048828125
1200,-142.7462921142578,-7137.31494140625
1250,-187.5225830078125,-9376.12890625
1300,-120.4599609375,-6022.998046875
1350,-135.46023559570312,-6773.01171875
1400,-103.8936996459961,-5194.68505859375
1450,-185.30345153808594,-9265.1728515625
1500,-173.64857482910156,-8682.4287109375
1550,-132.86849975585938,-6643.42529296875
1600,-172.2017822265625,-8610.0888671875
1650,-187.6035614013672,-9380.177734375
1700,-132.9805145263672,-6649.02587890625
1750,-14.642823219299316,-732.1411743164062
1800,-147.6439666748047,-7382.1982421875
1850,-150.52391052246094,-7526.19580078125
1900,-164.42697143554688,-8221.3486328125
1950,-155.45433044433594,-7772.716796875
2000,-158.89102172851562,-7944.55078125
2050,-185.4598388671875,-9272.9921875
2100,-17.18830680847168,-859.4153442382812
2150,-192.18185424804688,-9609.0927734375
2200,-91.9908218383789,-4599.541015625
2250,-135.78118896484375,-6789.05908203125
2300,-162.06851196289062,-8103.42529296875
2350,-89.43724822998047,-4471.8623046875
2400,-172.80010986328125,-8640.005859375
2450,-160.44873046875,-8022.4365234375
2500,-165.05747985839844,-8252.8740234375
2550,-144.66014099121094,-7233.0068359375
2600,-168.97299194335938,-8448.6494140625
2650,-40.9439697265625,-2047.198486328125
2700,-170.92648315429688,-8546.32421875
2750,-123.33915710449219,-6166.9580078125
2800,-128.6776885986328,-6433.88427734375
2850,-22.943265914916992,-1147.163330078125
2900,-157.5252685546875,-7876.263671875
2950,-142.53067016601562,-7126.53369140625
3000,-193.0726776123047,-9653.6337890625
3050,-16.835126876831055,-841.75634765625
3100,-95.67675018310547,-4783.83740234375
3150,-82.42147827148438,-4121.07373046875
3200,-67.3272933959961,-3366.364501953125
3250,-178.7857666015625,-8939.2880859375
3300,-104.92284393310547,-5246.14208984375
3350,-134.2861328125,-6714.306640625
3400,-109.29904174804688,-5464.9521484375
3450,-100.33685302734375,-5016.8427734375
3500,-98.57324981689453,-4928.66259765625
3550,-44.01573181152344,-2200.78662109375
3600,-84.67223358154297,-4233.61181640625
3650,-78.65918731689453,-3932.959228515625
3700,-132.29147338867188,-6614.57373046875
3750,-149.16607666015625,-7458.30419921875
3800,-96.78875732421875,-4839.43798828125
3850,-103.25798034667969,-5162.89892578125
3900,-137.906494140625,-6895.32470703125
3950,-161.29833984375,-8064.9169921875
4000,-95.69345092773438,-4784.67236328125
4050,-59.22922897338867,-2961.46142578125
4100,-124.07227325439453,-6203.61376953125
4150,-122.8974380493164,-6144.8720703125
4200,-90.2583999633789,-4512.919921875
4250,-62.804649353027344,-3140.232421875
4300,-155.39013671875,-7769.5068359375
4350,-81.21421813964844,-4060.7109375
4400,-132.3053741455078,-6615.26904296875
4450,-99.10617065429688,-4955.30859375
4500,-196.46517944335938,-9823.2587890625
4550,-41.70978927612305,-2085.489501953125
4600,-158.6300048828125,-7931.5
4650,-172.58375549316406,-8629.1875
4700,-16.764192581176758,-838.2095947265625
4750,-156.44772338867188,-7822.38623046875
4800,-168.0230255126953,-8401.1513671875
4850,-159.98837280273438,-7999.41845703125
4900,-172.30397033691406,-8615.1982421875
4950,-153.09950256347656,-7654.97509765625
5000,-178.64935302734375,-8932.4677734375
5050,-180.0084991455078,-9000.4248046875
5100,-100.94432830810547,-5047.21630859375
5150,-82.09828186035156,-4104.9140625
5200,-126.01683807373047,-6300.841796875
5250,-138.42335510253906,-6921.16796875
5300,-42.515281677246094,-2125.76416015625
5350,-167.61167907714844,-8380.583984375
5400,-190.66770935058594,-9533.3857421875
5450,-140.02093505859375,-7001.046875
5500,-100.0579605102539,-5002.89794921875
5550,-108.79974365234375,-5439.9873046875
5600,-60.27751159667969,-3013.87548828125
5650,-153.5854034423828,-7679.27001953125
5700,-42.33915710449219,-2116.957763671875
5750,-151.4991912841797,-7574.95947265625
5800,-76.14218139648438,-3807.10888671875
5850,-84.83822631835938,-4241.9111328125
5900,-180.68521118164062,-9034.2607421875
5950,-4.710883140563965,-235.54415893554688
6000,-148.09312438964844,-7404.65625
6050,-186.32618713378906,-9316.3095703125
6100,-42.10057067871094,-2105.028564453125
6150,-177.89842224121094,-8894.9208984375
6200,-126.34970092773438,-6317.48486328125
6250,-117.05719757080078,-5852.85986328125
6300,-146.01560974121094,-7300.7802734375
6350,-159.7501983642578,-7987.509765625
6400,-119.94210052490234,-5997.10498046875
6450,-18.025379180908203,-901.2689208984375
6500,-138.92881774902344,-6946.44091796875
6550,-143.88868713378906,-7194.4345703125
6600,-194.91094970703125,-9745.5478515625
6650,-41.401824951171875,-2070.09130859375
6700,-194.80099487304688,-9740.0498046875
6750,-87.74678039550781,-4387.3388671875
6800,-81.66781616210938,-4083.390869140625
6850,-174.76406860351562,-8738.203125
6900,-94.18563842773438,-4709.28173828125
6950,-160.5800018310547,-8029.0
7000,-150.52906799316406,-7526.45361328125
7050,-151.90802001953125,-7595.40087890625
7100,-120.5849838256836,-6029.2490234375
7150,-75.53011322021484,-3776.505615234375
7200,-125.77608489990234,-6288.80419921875
7250,-175.71990966796875,-8785.9951171875
7300,-138.27589416503906,-6913.79443359375
7350,-117.9155044555664,-5895.775390625
7400,-50.489139556884766,-2524.45703125
7450,-167.22242736816406,-8361.12109375
7500,-158.8240203857422,-7941.201171875
7550,-154.1273193359375,-7706.36572265625
7600,-185.1807403564453,-9259.037109375
7650,-144.74911499023438,-7237.4560546875
7700,-107.32662963867188,-5366.33154296875
7750,-48.77888488769531,-2438.9443359375
7800,-157.35797119140625,-7867.8984375
7850,-0.7945024371147156,-39.725120544433594
7900,-182.3394317626953,-9116.9716796875
7950,-195.86660766601562,-9793.330078125
8000,-148.57479858398438,-7428.740234375
8050,-153.82748413085938,-7691.37451171875
8100,-85.13412475585938,-4256.7060546875
8150,-151.07138061523438,-7553.56884765625
8200,-155.33578491210938,-7766.78955078125
8250,-146.00172424316406,-7300.08642578125
8300,-85.01102447509766,-4250.55126953125
8350,-105.56887817382812,-5278.44384765625
8400,-90.83203887939453,-4541.60205078125
8450,-80.18231964111328,-4009.115966796875
8500,-24.814252853393555,-1240.712646484375
8550,-88.57533264160156,-4428.7666015625
8600,-9.488679885864258,-474.4339904785156
8650,-68.62326049804688,-3431.1630859375
8700,-56.0202751159668,-2801.013671875
8750,-132.1440887451172,-6607.20458984375
8800,-148.82852172851562,-7441.42626953125
8850,-161.35792541503906,-8067.89599609375
8900,-149.71131896972656,-7485.56591796875
8950,-75.28496551513672,-3764.248291015625
9000,-56.234619140625,-2811.73095703125
9050,-69.5836410522461,-3479.18212890625
9100,-162.86277770996094,-8143.13916015625
9150,-149.18148803710938,-7459.07470703125
9200,-78.10725402832031,-3905.362548828125
9250,-177.53179931640625,-8876.58984375
9300,-126.1706771850586,-6308.53369140625
9350,-165.96072387695312,-8298.0361328125
9400,-162.31332397460938,-8115.66650390625
9450,-99.88152313232422,-4994.076171875
9500,-191.0855712890625,-9554.2783203125
9550,-115.84028625488281,-5792.01416015625
9600,-162.6016845703125,-8130.08447265625
9650,-68.52377319335938,-3426.188720703125
9700,-160.20040893554688,-8010.0205078125
9750,-80.8475570678711,-4042.377685546875
9800,-135.2227020263672,-6761.134765625
9850,-120.11906433105469,-6005.953125
9900,-77.51769256591797,-3875.884521484375
9950,-121.34972381591797,-6067.486328125
10000,-138.2534637451172,-6912.67333984375
10050,-4.880030632019043,-244.00152587890625
10100,-119.9098892211914,-5995.49462890625
10150,-140.2332305908203,-7011.66162109375
10200,-144.44955444335938,-7222.47802734375
