timestep,average_reward,episode_return
50,-145.68141174316406,-7284.0703125
100,-42.678009033203125,-2133.900390625
150,-1295.152099609375,-64757.60546875
200,-1045.153564453125,-52257.67578125
250,-1383.4215087890625,-69171.078125
300,-1448.9525146484375,-72447.625
350,-1380.5897216796875,-69029.484375
400,-1424.7901611328125,-71239.5078125
450,-1423.822021484375,-71191.1015625
500,-1375.397216796875,-68769.859375
550,-1422.202392578125,-71110.1171875
600,-1441.0625,-72053.125
650,-1401.6015625,-70080.078125
700,-1388.3331298828125,-69416.65625
750,-1408.399658203125,-70419.984375
800,-1391.032470703125,-69551.625
850,-1401.4534912109375,-70072.671875
900,-1430.311279296875,-71515.5625
950,-1411.192626953125,-70559.6328125
1000,-1429.85498046875,-71492.75
1050,-1377.50439453125,-68875.21875
1100,-1404.151123046875,-70207.5546875
1150,-1364.4710693359375,-68223.5546875
1200,-1378.0982666015625,-68904.9140625
1250,-1383.06494140625,-69153.25
1300,-1406.37451171875,-70318.7265625
1350,-1382.772216796875,-69138.609375
1400,-1391.747314453125,-69587.3671875
1450,-1406.8831787109375,-70344.15625
1500,-1383.600341796875,-69180.015625
1550,-1390.459228515625,-69522.9609375
1600,-1344.3048095703125,-67215.2421875
1650,-1463.1707763671875,-73158.5390625
1700,-1401.0628662109375,-70053.140625
1750,-1439.5736083984375,-71978.6796875
1800,-1420.63134765625,-71031.5703125
1850,-1377.6851806640625,-68884.2578125
1900,-1402.7015380859375,-70135.078125
1950,-1362.885986328125,-68144.296875
2000,-1294.9554443359375,-64747.7734375
2050,-1375.276611328125,-68763.828125
2100,-1413.0938720703125,-70654.6953125
2150,-1454.4903564453125,-72724.515625
2200,-1381.5899658203125,-69079.5
2250,-1380.7545166015625,-69037.7265625
2300,-1412.369384765625,-70618.46875
2350,-1402.887939453125,-70144.3984375
2400,-1410.131591796875,-70506.578125
2450,-1336.5048828125,-66825.2421875
2500,-1390.088134765625,-69504.40625
2550,-1418.74951171875,-70937.4765625
2600,-1425.868896484375,-71293.4453125
2650,-1344.280517578125,-67214.0234375
2700,-1374.585205078125,-68729.2578125
2750,-1403.4949951171875,-70174.75
2800,-1407.0543212890625,-70352.71875
2850,-1392.215576171875,-69610.78125
2900,-1387.7755126953125,-69388.7734375
2950,-1415.219482421875,-70760.9765625
3000,-1415.10302734375,-70755.1484375
3050,-1420.74462890625,-71037.234375
3100,-1370.528564453125,-68526.4296875
3150,-1404.2041015625,-70210.203125
3200,-1354.8526611328125,-67742.6328125
3250,-1428.6204833984375,-71431.0234375
3300,-1404.7015380859375,-70235.078125
3350,-1429.63037109375,-71481.515625
3400,-1391.7342529296875,-69586.7109375
3450,-1434.3472900390625,-71717.3671875
3500,-1394.026611328125,-69701.328125
3550,-1398.4163818359375,-69920.8203125
3600,-1398.706298828125,-69935.3125
3650,-1391.3623046875,-69568.1171875
3700,-1394.376220703125,-69718.8125
3750,-1387.84814453125,-69392.40625
3800,-1360.0556640625,-68002.78125
3850,-1395.9892578125,-69799.4609375
3900,-1436.7694091796875,-71838.46875
3950,-1435.7418212890625,-71787.09375
4000,-1372.325927734375,-68616.296875
4050,-1396.5233154296875,-69826.1640625
4100,-1380.7589111328125,-69037.9453125
4150,-1379.7696533203125,-68988.484375
4200,-1434.5955810546875,-71729.78125
4250,-1371.7523193359375,-68587.6171875
4300,-1463.19775390625,-73159.890625
4350,-1387.18701171875,-69359.3515625
4400,-1389.39990234375,-69469.9921875
4450,-1387.4488525390625,-69372.4453125
4500,-1367.5869140625,-68379.34375
4550,-1412.2884521484375,-70614.421875
4600,-1449.775146484375,-72488.7578125
4650,-1389.7025146484375,-69485.125
4700,-1391.40771484375,-69570.3828125
4750,-1370.00634765625,-68500.3203125
4800,-1407.076904296875,-70353.84375
4850,-1351.806884765625,-67590.34375
4900,-1379.3985595703125,-68969.9296875
4950,-1386.6650390625,-69333.25
5000,-1319.7845458984375,-65989.2265625
5050,-1418.31591796875,-70915.796875
5100,-1413.8935546875,-70694.6796875
5150,-1411.9464111328125,-70597.3203125
5200,-1363.0185546875,-68150.9296875
5250,-1382.564697265625,-69128.234375
5300,-1383.4659423828125,-69173.296875
5350,-1390.9481201171875,-69547.40625
5400,-1380.2193603515625,-69010.96875
5450,-1396.34814453125,-69817.40625
5500,-1378.518798828125,-68925.9375
5550,-1367.949951171875,-68397.5
5600,-1331.846435546875,-66592.3203125
5650,-1407.9404296875,-70397.0234375
5700,-1383.7457275390625,-69187.2890625
5750,-1390.5472412109375,-69527.359375
5800,-1386.8291015625,-69341.453125
5850,-1443.251708984375,-72162.5859375
5900,-1396.373779296875,-69818.6875
5950,-1414.0120849609375,-70700.6015625
6000,-1352.158935546875,-67607.9453125
6050,-1387.6026611328125,-69380.1328125
6100,-1346.7113037109375,-67335.5625
6150,-1439.843017578125,-71992.1484375
6200,-1377.3466796875,-68867.3359375
6250,-1372.7779541015625,-68638.8984375
6300,-1344.17529296875,-67208.765625
6350,-1385.2872314453125,-69264.359375
6400,-1422.8265380859375,-71141.328125
6450,-1394.3597412109375,-69717.984375
