timestep,episode_return,episode_mean
50,-1693.15234375,-33.8630485534668
100,-3882.21142578125,-77.64422607421875
150,-10153.134765625,-203.0626983642578
200,-2510.960693359375,-50.219215393066406
250,-7532.81298828125,-150.65626525878906
300,-5194.27587890625,-103.8855209350586
350,-268.2926330566406,-5.3658528327941895
400,-5553.75390625,-111.07508087158203
450,-795.6470336914062,-15.912940979003906
500,-2954.988525390625,-59.099769592285156
550,-2042.108642578125,-40.8421745300293
600,-13828.4521484375,-276.56903076171875
650,-3224.03955078125,-64.48078918457031
700,-270.1326904296875,-5.402653694152832
750,-1465.1077880859375,-29.302156448364258
800,-9866.15625,-197.3231201171875
850,-12528.08984375,-250.56179809570312
900,-7204.5546875,-144.09109497070312
950,-12247.4755859375,-244.9495086669922
1000,-12902.453125,-258.049072265625
1050,-16593.71875,-331.8743896484375
1100,-9218.912109375,-184.37823486328125
1150,-17003.64453125,-340.0728759765625
1200,-31385.16015625,-627.7031860351562
1250,-26438.6484375,-528.77294921875
1300,-27927.796875,-558.555908203125
1350,-22935.892578125,-458.7178649902344
1400,-19677.513671875,-393.5502624511719
1450,-25046.8515625,-500.9370422363281
1500,-16038.5087890625,-320.7701721191406
1550,-29927.8359375,-598.5567016601562
1600,-19538.58984375,-390.77178955078125
1650,-12565.646484375,-251.31292724609375
1700,-7437.14697265625,-148.74293518066406
1750,-10528.3427734375,-210.5668487548828
1800,-4866.279296875,-97.3255844116211
1850,-5361.80517578125,-107.2361068725586
1900,-343.2197570800781,-6.8643951416015625
1950,-226.79713439941406,-4.535942554473877
2000,-308.013671875,-6.160273551940918
2050,-279.38934326171875,-5.587786674499512
2100,-289.0077819824219,-5.780155658721924
2150,-352.7557678222656,-7.055115222930908
2200,-327.3820495605469,-6.547640800476074
2250,-360.49072265625,-7.209814548492432
2300,-386.91265869140625,-7.738253116607666
2350,-331.1229248046875,-6.622458457946777
2400,-356.23809814453125,-7.124762058258057
2450,-387.3907470703125,-7.747815132141113
2500,-383.4815673828125,-7.669631481170654
2550,-493.6588134765625,-9.873176574707031
2600,-355.21429443359375,-7.104285717010498
2650,-291.38250732421875,-5.82765007019043
2700,-378.08331298828125,-7.561666488647461
2750,-486.56591796875,-9.731318473815918
2800,-374.961669921875,-7.499233245849609
2850,-371.9848327636719,-7.439696788787842
2900,-363.1950988769531,-7.263902187347412
2950,-383.19415283203125,-7.663883209228516
3000,-297.93548583984375,-5.958709716796875
3050,-307.0576477050781,-6.141152858734131
3100,-365.6531677246094,-7.313063144683838
3150,-355.33306884765625,-7.106661319732666
3200,-287.3989562988281,-5.747979164123535
3250,-287.79644775390625,-5.755928993225098
3300,-323.5419006347656,-6.4708380699157715
3350,-318.80419921875,-6.376083850860596
3400,-345.23388671875,-6.904677867889404
3450,-376.42486572265625,-7.528497219085693
3500,-361.9850158691406,-7.2397003173828125
3550,-344.8691711425781,-6.897383213043213
3600,-329.3089599609375,-6.586179256439209
3650,-343.6526794433594,-6.873053550720215
3700,-333.0169982910156,-6.660339832305908
3750,-379.5350036621094,-7.590700149536133
3800,-387.7939147949219,-7.755878448486328
3850,-330.0218200683594,-6.600436210632324
3900,-343.3871765136719,-6.867743492126465
3950,-350.7680969238281,-7.015361785888672
4000,-319.1482238769531,-6.382964611053467
4050,-331.9068298339844,-6.638136386871338
4100,-329.6849670410156,-6.5936994552612305
4150,-364.3260498046875,-7.286520957946777
4200,-298.1333312988281,-5.9626665115356445
4250,-320.64996337890625,-6.412999153137207
4300,-328.7060852050781,-6.574121475219727
4350,-311.886962890625,-6.237739086151123
4400,-291.4683837890625,-5.829367637634277
4450,-415.95062255859375,-8.319012641906738
4500,-348.2555236816406,-6.9651103019714355
4550,-323.89813232421875,-6.477962493896484
4600,-295.3164978027344,-5.906330108642578
4650,-318.468017578125,-6.369360446929932
4700,-356.508544921875,-7.130170822143555
4750,-326.3251647949219,-6.526503086090088
4800,-277.5555114746094,-5.55111026763916
4850,-298.8864440917969,-5.977728843688965
4900,-295.0426940917969,-5.900854110717773
4950,-329.21722412109375,-6.584344387054443
5000,-337.6978759765625,-6.753957748413086
5050,-310.1683044433594,-6.203366279602051
5100,-343.3155212402344,-6.8663105964660645
5150,-353.5338439941406,-7.070676803588867
