Algorithm,EpisodeLength,LearningRate,BatchSize,EntCoef,MAE,MSE,RMSE,AvgReward,ConvergenceRate,AvgJerk,VarianceJerk
SAC,50,0.0003,64,auto,0.34807241146824586,0.4227780610362525,0.6502138579238776,0.9765069230284081,0.021927723759231854,0.2665939319133759,0.11096922438931497
SAC,50,0.0003,128,auto,0.4250959601211273,0.5112971086758255,0.7150504238694118,1.0457936965874486,0.005964492078748829,0.24489270945390065,0.10449178001704229
SAC,50,0.0003,256,auto,0.37447360280312464,0.4561767127909201,0.6754085525005736,1.0308686913094636,0.010934332574220672,0.17750000834465027,0.054685920798430064
PPO,100,0.0003,64,0.005,0.4350977400330993,0.5284005570852818,0.7269116570019233,1.0488512415140425,-0.0011274393745293642,0.04778446154048045,0.005256660319782792
PPO,100,0.0003,128,0.005,45.032043756565656,2161.521332153279,46.49216420165101,-4.782141433631156,-0.052286055928522514,0.030894286533196768,0.002483853888838506
PPO,100,0.0003,256,0.005,129.79456192967643,17718.620751063965,133.1113096286862,-4.903848792517611,-0.023076289795773412,0.051017356005807715,0.005132642176744722
TD3,100,0.0001,64,,1.186515557288882,2.312479568048525,1.5206839145754534,0.9867884015626999,-0.001745867821149001,0.9077492858966192,0.8763461175405617
TD3,100,0.0001,128,,1.7358781419154161,4.245855726228919,2.0605474336275105,0.9672325285518326,-0.0001873558012390575,0.8672170505921046,0.842080279038194
TD3,100,0.0001,256,,0.6526791437640962,0.8696839753384904,0.9325684829214905,1.0344635698474018,0.0019531813012805556,0.628274275958538,0.52086121384413
DDPG,100,0.0003,64,,12.11666737161255,155.1011922954199,12.453962915290052,-4.977041209242422,-0.005510109781818588,0.0016666666666666668,0.0016638888888888892
DDPG,100,0.0003,128,,0.33476289394081876,0.4645009151486265,0.6815430398358027,1.0550403860151378,-0.0007351816784217746,0.5355164980888367,0.4080272035290926
DDPG,100,0.0003,256,,2.381185827548008,7.48015579580701,2.734987348381526,0.8883645221085836,0.0011193969726661312,0.7375000001986821,0.73633995454154
