Algorithm,EpisodeLength,LearningRate,BatchSize,EntCoef,MAE,MSE,RMSE,AvgReward,ConvergenceRate,AvgJerk,VarianceJerk
SAC,50,0.0003,256,auto,0.37447360280312464,0.4561767127909201,0.6754085525005736,1.0308686913094636,0.010934332574220672,0.17750000834465027,0.054685920798430064
SAC,100,0.0003,256,auto,0.34525196599615654,0.41495414655458757,0.6441693461773756,0.9532096521274612,0.024177423271907972,0.27875872830549875,0.13053515421131137
SAC,200,0.0003,256,auto,0.3228221859315723,0.3982455140600254,0.6310669647985271,0.9924028628969931,0.015390338074317233,0.3683991348743439,0.2134927301462145
PPO,50,0.0003,64,0.005,0.4715220960573932,0.6032582951531154,0.776697042065383,0.8396057537297796,0.01264990048833014,0.027102391999214888,0.003115496960317686
PPO,100,0.0003,64,0.005,0.4350977400330993,0.5284005570852818,0.7269116570019233,1.0488512415140425,-0.0011274393745293642,0.04778446154048045,0.005256660319782792
PPO,200,0.0003,64,0.005,1150.420253444367,1802491.715864367,1342.5690730328802,-4.889690108787925,-0.02647437389089796,0.0036949687202771503,0.0011220452804717783
TD3,50,0.0001,64,,0.49212278037625706,0.6093039050730958,0.7805792112739718,-0.2111186953689171,0.026081869004847977,0.7320205016930899,0.6364319252572583
TD3,100,0.0001,64,,1.186515557288882,2.312479568048525,1.5206839145754534,0.9867884015626999,-0.001745867821149001,0.9077492858966192,0.8763461175405617
TD3,200,0.0001,64,,1.5767542613121186,3.4753665542196557,1.8642335031373232,0.4626201144027879,0.014565194157739745,0.9321566313505173,0.9155097436703522
DDPG,50,0.0003,128,,2.2078358571241923,6.578385943395065,2.5648364359925693,0.8855388513846429,0.001728987956230059,0.7983333333333333,0.7981024659618409
DDPG,100,0.0003,128,,0.33476289394081876,0.4645009151486265,0.6815430398358027,1.0550403860151378,-0.0007351816784217746,0.5355164980888367,0.4080272035290926
DDPG,200,0.0003,128,,1187.9474954528312,1891636.850555984,1375.3678964393432,-4.939149088738777,-0.014604218702693376,0.0016666666666666668,0.0016638888888888892
