Algorithm,EpisodeLength,LearningRate,BatchSize,EntCoef,MAE,MSE,RMSE,AvgReward,ConvergenceRate,AvgJerk,VarianceJerk
SAC,50,0.0001,256,auto,0.4393583411330642,0.5328876063411281,0.7299915111431968,0.5833433620619733,0.0831378152914361,0.07681487023830413,0.012305663241876923
SAC,50,0.0003,256,auto,0.37447360280312464,0.4561767127909201,0.6754085525005736,1.0308686913094636,0.010934332574220672,0.17750000834465027,0.054685920798430064
SAC,50,0.001,256,auto,0.4050515543164862,0.4984169443011508,0.705986504333582,1.0142145606326745,-0.008830363989775113,0.19667617956797281,0.08573305013606879
PPO,100,0.0001,64,0.005,0.7994338860726079,2.477146523536258,1.573895334365109,-0.07578595906800042,0.0670435966759367,0.013683499653513233,0.00039173558009423967
PPO,100,0.0003,64,0.005,0.4350977400330993,0.5284005570852818,0.7269116570019233,1.0488512415140425,-0.0011274393745293642,0.04778446154048045,0.005256660319782792
PPO,100,0.001,64,0.005,1187.9474954528312,1891636.850555984,1375.3678964393432,-4.939149088738777,-0.014604218702693376,0.0016666666666666668,0.0016638888888888892
TD3,100,0.0001,64,,1.186515557288882,2.312479568048525,1.5206839145754534,0.9867884015626999,-0.001745867821149001,0.9077492858966192,0.8763461175405617
TD3,100,0.0003,64,,1187.9474954528312,1891636.850555984,1375.3678964393432,-4.939149088738777,-0.014604218702693376,0.0016666666666666668,0.0016638888888888892
TD3,100,0.001,64,,12.11666737161255,155.1011922954199,12.453962915290052,-4.977041209242422,-0.005510109781818588,0.0016666666666666668,0.0016638888888888892
DDPG,100,0.0001,128,,8.052151086716968,86.87044469553041,9.320431572386035,-2.8580783376676324,0.00728791935487509,0.20313076833883922,0.18082302250212842
DDPG,100,0.0003,128,,0.33476289394081876,0.4645009151486265,0.6815430398358027,1.0550403860151378,-0.0007351816784217746,0.5355164980888367,0.4080272035290926
DDPG,100,0.001,128,,12.11666737161255,155.1011922954199,12.453962915290052,-4.977041209242422,-0.005510109781818588,0.0016666666666666668,0.0016638888888888892
