Algorithm,EpisodeLength,LearningRate,BatchSize,EntCoef,RewardType,MAE,MSE,RMSE,AvgReward,ConvergenceRate
SAC,100,0.0003,64,auto,abs,2.166917324066162,7.409306049346924,2.7220040502076635,-2.1669174665595325,-0.0038381945038589117
SAC,100,0.0003,128,auto,abs,2.1299514770507812,7.257675647735596,2.6940073585154876,-2.129951705206833,-0.0003911776952483037
SAC,100,0.0003,256,auto,abs,2.0477519035339355,6.585285663604736,2.566181143957834,-2.047751961719864,-0.00048437480627431026
SAC,100,0.0003,512,auto,abs,2.0429348945617676,6.556272506713867,2.5605219207641765,-2.042935021611463,0.001485440522036252
PPO,100,0.0003,64,0.0,abs,1.7820481061935425,4.973793983459473,2.2302004357141247,-1.7820482743941382,0.0023288011867971135
PPO,100,0.0003,128,0.0,abs,1.7883750200271606,5.014947891235352,2.239407933190233,-1.7883749387719892,0.0027949512582618485
PPO,100,0.0003,256,0.0,abs,1.8178783655166626,5.110331058502197,2.2606041357350026,-1.8178783831381338,0.004254485969694443
PPO,100,0.0003,512,0.0,abs,1.8357478380203247,5.335604667663574,2.3098927827203526,-1.835747829626671,0.0018820558200415083
TD3,100,0.0003,64,,abs,3.446549415588379,17.22906494140625,4.150790881435277,-3.446549654031024,0.027516304082920485
TD3,100,0.0003,128,,abs,1.9775646924972534,6.265602111816406,2.5031184773830435,-1.9775647747854093,-0.0015058340493017376
TD3,100,0.0003,256,,abs,3.7892894744873047,21.148183822631836,4.59871545354046,-3.7892892166768894,0.03321792991333926
TD3,100,0.0003,512,,abs,2.1184377670288086,6.974101543426514,2.6408524274231064,-2.1184377264686827,-0.0011552746204461495
DDPG,100,0.0003,64,,abs,2.069659471511841,6.672408103942871,2.5831004827421777,-2.0696593995233274,0.005520905816699771
DDPG,100,0.0003,128,,abs,3.971940040588379,22.136980056762695,4.704995223883091,-3.9719399117410075,0.028758340639240584
DDPG,100,0.0003,256,,abs,3.5246386528015137,17.576993942260742,4.19249256913602,-3.5246384349729425,0.017651854890643016
DDPG,100,0.0003,512,,abs,2.0016565322875977,6.374551296234131,2.524787376440664,-2.001656336647692,-0.001554955042812194
