Algorithm,EpisodeLength,LearningRate,BatchSize,EntCoef,RewardType,MAE,MSE,RMSE,AvgReward,ConvergenceRate
SAC,100,0.001,256,auto,abs,2.0140926837921143,6.4128570556640625,2.5323619519460605,-2.0140928039808,0.0020158520999008413
SAC,100,0.001,256,0.0,abs,2.4064440727233887,8.750691413879395,2.958156759517554,-2.4064441758120036,0.011448892876424484
SAC,100,0.001,256,0.005,abs,2.0950586795806885,6.855441093444824,2.6182897267958762,-2.0950586238914184,0.0017825804476592655
SAC,100,0.001,256,0.01,abs,2.071300745010376,6.778892517089844,2.603630641448561,-2.0713007464176045,-0.001920677227942853
SAC,100,0.001,256,0.05,abs,2.1015005111694336,6.9274582862854,2.6320065133440305,-2.1015004439979426,0.0002834673579506619
SAC,100,0.001,256,0.1,abs,2.088653087615967,6.865721702575684,2.6202522211756034,-2.088653289831193,-4.696427680802806e-05
PPO,100,0.0003,64,0.0,abs,1.7820481061935425,4.973793983459473,2.2302004357141247,-1.7820482743941382,0.0023288011867971135
PPO,100,0.0003,64,0.005,abs,1.780947208404541,4.972163677215576,2.2298348990935577,-1.7809470696939556,0.0027843755417272086
PPO,100,0.0003,64,0.01,abs,2.227724552154541,7.752562046051025,2.784342300445659,-2.2277247584869095,0.0025022494434994757
PPO,100,0.0003,64,0.05,abs,1.929467797279358,5.699503421783447,2.3873632781341527,-1.9294679259365042,0.007717951873094529
PPO,100,0.0003,64,0.1,abs,1.971254825592041,6.142996311187744,2.4785068713214704,-1.9712549222575262,5.1593536093232915e-05
