Algorithm,EpisodeLength,LearningRate,BatchSize,EntCoef,MAE,MSE,RMSE,AvgReward,ConvergenceRate,AvgJerk,VarianceJerk
SAC,50,0.0001,256,auto,0.3566123832729768,0.43920312159958247,0.6627240161632763,-1.3967859945372962,0.15038735117341623,0.4463777164618174,0.2953054617686026
SAC,50,0.0003,256,auto,1.0067093325009098,1.988461138441124,1.4101280574618476,-61.158924132700484,1.8256137187980386,0.2806142028172811,0.13098386923984595
SAC,50,0.001,256,auto,0.3634101277626486,0.4561310043330356,0.6753747140166232,-0.13720486528943474,-0.014771431195076238,0.26726272284984587,0.13266263482717297
PPO,100,0.0001,64,0.005,12.11666737161255,155.1011922954199,12.453962915290052,-144073.48489773273,-7919.587085625418,0.0016666666666666668,2.4162190977412704e-05
PPO,100,0.0003,64,0.005,12.11666737161255,155.1011922954199,12.453962915290052,-144073.48489834796,-7919.587085503448,0.0016666666666666668,0.00011439955153248696
PPO,100,0.001,64,0.005,12.11666737161255,155.1011922954199,12.453962915290052,-144073.48489863938,-7919.587085433509,0.0016666666666666668,0.0008060270603429523
TD3,100,0.0001,64,,12.11666737161255,155.1011922954199,12.453962915290052,-144073.4848988288,-7919.58708538804,0.0016666666666666668,0.0016638888888888892
TD3,100,0.0003,64,,12.11666737161255,155.1011922954199,12.453962915290052,-144073.4848988288,-7919.58708538804,0.0016666666666666668,0.0016638888888888892
TD3,100,0.001,64,,1187.9474954528312,1891636.850555984,1375.3678964393432,-810156607.249112,-68859744.20485257,0.0016666666666666668,0.0016638888888888892
DDPG,100,0.0001,128,,12.11666737161255,155.1011922954199,12.453962915290052,-144073.4848988288,-7919.58708538804,0.0016666666666666668,0.0016638888888888892
DDPG,100,0.0003,128,,12.11666737161255,155.1011922954199,12.453962915290052,-144073.4848988288,-7919.58708538804,0.0016666666666666668,0.0016638888888888892
DDPG,100,0.001,128,,12.11666737161255,155.1011922954199,12.453962915290052,-144073.4848988288,-7919.58708538804,0.0016666666666666668,0.0016638888888888892
SAC,50,0.0001,256,auto,0.3566123832729768,0.43920312159958247,0.6627240161632763,-1.398802661203963,0.14991735117341626,0.4463777164618174,0.2953054617686026
SAC,50,0.0003,256,auto,1.0067093325009098,1.988461138441124,1.4101280574618476,-61.158924132700484,1.8256137187980386,0.2806142028172811,0.13098386923984595
SAC,50,0.001,256,auto,0.3634101277626486,0.4561310043330356,0.6753747140166232,-0.14681319862276804,-0.014881431195076233,0.26726272284984587,0.13266263482717297
PPO,100,0.0001,64,0.005,0.6491503970423593,1.6180099161472201,1.2720101871239948,-1.1572723903326063,0.06906866623053971,0.011122348097269424,0.0003940968165894038
PPO,100,0.0003,64,0.005,0.44668378959937305,0.6166906569427285,0.7852965407683448,-0.0606854517175553,-0.0008489009521915222,0.05175335043420394,0.005066835635187738
PPO,100,0.001,64,0.005,0.4685461172316295,0.68126244770147,0.8253862415266383,-0.2637482680175698,0.011437054190154408,0.036658999416977166,0.0029935549518000557
TD3,100,0.0001,64,,12.11666737161255,155.1011922954199,12.453962915290052,-144073.4848988288,-7919.58708538804,0.0016666666666666668,0.0016638888888888892
TD3,100,0.0003,64,,12.11666737161255,155.1011922954199,12.453962915290052,-144073.4848988288,-7919.58708538804,0.0016666666666666668,0.0016638888888888892
TD3,100,0.001,64,,1187.9474954528312,1891636.850555984,1375.3678964393432,-810156607.2491204,-68859744.20485058,0.0016666666666666668,0.0016638888888888892
DDPG,100,0.0001,128,,12.11666737161255,155.1011922954199,12.453962915290052,-144073.4848988288,-7919.58708538804,0.0016666666666666668,0.0016638888888888892
DDPG,100,0.0003,128,,12.11666737161255,155.1011922954199,12.453962915290052,-144073.4848988288,-7919.58708538804,0.0016666666666666668,0.0016638888888888892
DDPG,100,0.001,128,,12.11666737161255,155.1011922954199,12.453962915290052,-144073.4848988288,-7919.58708538804,0.0016666666666666668,0.0016638888888888892
SAC,50,0.0001,256,auto,0.3443465855796422,0.43049247915106215,0.6561192568055461,-1.0374284586262108,0.10910726907892747,0.6161282986402512,0.49766816096176103
SAC,50,0.0003,256,auto,0.5195325355016058,0.638505031674083,0.799065098520817,-0.45027216871375686,0.06983999021128988,0.3580800330638885,0.19554462932310274
SAC,50,0.001,256,auto,0.2852571597771917,0.45754715670026047,0.6764223212611042,-0.3866393595737577,-0.008374785758802383,0.47594652632872264,0.32785076273177455
