Algorithm,EpisodeLength,LearningRate,BatchSize,EntCoef,RewardType,MAE,MSE,RMSE,AvgReward,ConvergenceRate
SAC,50,0.0003,256,auto,abs,2.1388580799102783,7.313020706176758,2.70425973349025,-2.1388579910711036,-0.001063671370659116
SAC,100,0.0003,256,auto,abs,2.002432346343994,6.603381156921387,2.569704488247897,-2.002432348129886,0.001143011329777861
SAC,200,0.0003,256,auto,abs,1.9750431776046753,6.1713337898254395,2.484216936949235,-1.975043067304693,0.002360099668908151
SAC,300,0.0003,256,auto,abs,2.273301601409912,8.578428268432617,2.928895400732607,-2.27330156178264,0.008589798983532428
SAC,400,0.0003,256,auto,abs,2.0940628051757812,6.869152069091797,2.6209067265150425,-2.0940628555370053,0.004460480128111079
PPO,50,0.0003,256,0.0,abs,1.802152156829834,5.119658946990967,2.262666335762073,-1.8021521113004826,0.0031271751251534074
PPO,100,0.0003,256,0.0,abs,1.7942225933074951,5.077122211456299,2.253247037378791,-1.7942224861609903,0.00292640402508072
PPO,200,0.0003,256,0.0,abs,1.7980948686599731,5.087564468383789,2.255563004747105,-1.798094878488248,0.0038463538198504786
PPO,300,0.0003,256,0.0,abs,1.8992692232131958,5.672667026519775,2.381736137047884,-1.8992690529611922,0.005047903427527183
PPO,400,0.0003,256,0.0,abs,1.7663376331329346,4.933038234710693,2.2210444017872972,-1.7663376353774014,0.002930071517584929
TD3,50,0.0003,256,,abs,1.9592797756195068,6.073891639709473,2.46452665631952,-1.9592797651515237,0.0023554788153921733
TD3,100,0.0003,256,,abs,3.7997913360595703,20.848812103271484,4.566049945332561,-3.7997913594936485,0.03633098723473607
TD3,200,0.0003,256,,abs,3.4395718574523926,17.131786346435547,4.139056214457053,-3.439572148537524,0.02644962040977119
TD3,300,0.0003,256,,abs,2.1051559448242188,7.055652618408203,2.6562478458171412,-2.105155822213582,0.005001057926404453
TD3,400,0.0003,256,,abs,1.8633475303649902,5.6063432693481445,2.367771794187131,-1.8633475979256355,0.0021763674263785117
DDPG,50,0.0003,256,,abs,1.991001009941101,6.354410648345947,2.520795637957577,-1.9910009552299297,-0.0030276160477475276
DDPG,100,0.0003,256,,abs,3.5036966800689697,17.337862014770508,4.163875840460484,-3.5036967983024367,0.020917963313794002
DDPG,200,0.0003,256,,abs,2.0471065044403076,6.7365403175354,2.5954846016756488,-2.047106667276886,0.007769810683403855
DDPG,300,0.0003,256,,abs,3.164891004562378,14.546448707580566,3.813980690509663,-3.164890968832735,0.014103938162799236
DDPG,400,0.0003,256,,abs,5.478416919708252,40.46687316894531,6.361357808592857,-5.478417294497063,0.05408358595615029
