Algorithm,EpisodeLength,LearningRate,BatchSize,EntCoef,RewardType,MAE,MSE,RMSE,AvgReward,ConvergenceRate
SAC,100,0.0003,256,auto,abs,2.048079252243042,6.69772481918335,2.5879962942754284,-2.0480792371006866,-0.0015022101137242827
SAC,100,0.0003,256,auto,squared,2.033356189727783,6.4540696144104,2.540486098054937,-6.454069355859674,0.01098392747922258
SAC,100,0.0003,256,auto,exp,2.859541654586792,11.961444854736328,3.458532182116617,-205.34854506650308,2.981221386939128
PPO,100,0.0003,256,0.0,abs,1.8053438663482666,5.0910868644714355,2.2563436937823624,-1.8053437282424243,0.0030271074141297706
PPO,100,0.0003,256,0.0,squared,1.8512898683547974,5.359217166900635,2.314998308185264,-5.359217229732256,0.007924175200365653
PPO,100,0.0003,256,0.0,exp,7.310573101043701,71.76765441894531,8.47157921635307,-8276.382084760851,205.31723235579676
DDPG,100,0.0003,256,,abs,3.5581629276275635,17.894350051879883,4.230171397458959,-3.558162820100799,0.017061772779871694
DDPG,100,0.0003,256,,squared,2.7376010417938232,11.416582107543945,3.378843309113926,-11.416581490213987,0.03243918015957686
DDPG,100,0.0003,256,,exp,2.530827283859253,9.612085342407227,3.1003363273050275,-105.18762376957737,0.43810397996918105
TD3,100,0.0003,256,,abs,3.734708309173584,20.144052505493164,4.488212618124632,-3.7347080134617645,0.029038622968551496
TD3,100,0.0003,256,,squared,10.075753211975098,117.45536804199219,10.83768278009613,-117.45536070908616,1.2658105893000653
TD3,100,0.0003,256,,exp,2.013092041015625,6.227723121643066,2.4955406471630686,-37.96693940576847,0.13793027623032675
