Algorithm,EpisodeLength,LearningRate,BatchSize,EntCoef,RewardType,MAE,MSE,RMSE,AvgReward,ConvergenceRate
SAC,100,0.0003,64,auto,abs,2.166917324066162,7.409306049346924,2.7220040502076635,-2.1669174665595325,-0.0038381945038589117
SAC,100,0.0003,128,auto,abs,2.1299514770507812,7.257675647735596,2.6940073585154876,-2.129951705206833,-0.0003911776952483037
SAC,100,0.0003,256,auto,abs,2.0477519035339355,6.585285663604736,2.566181143957834,-2.047751961719864,-0.00048437480627431026
SAC,100,0.0003,512,auto,abs,2.0429348945617676,6.556272506713867,2.5605219207641765,-2.042935021611463,0.001485440522036252
PPO,100,0.0003,64,0.0,abs,1.7820481061935425,4.973793983459473,2.2302004357141247,-1.7820482743941382,0.0023288011867971135
PPO,100,0.0003,128,0.0,abs,1.7883750200271606,5.014947891235352,2.239407933190233,-1.7883749387719892,0.0027949512582618485
PPO,100,0.0003,256,0.0,abs,1.8178783655166626,5.110331058502197,2.2606041357350026,-1.8178783831381338,0.004254485969694443
PPO,100,0.0003,512,0.0,abs,1.8357478380203247,5.335604667663574,2.3098927827203526,-1.835747829626671,0.0018820558200415083
TD3,100,0.0003,64,,abs,3.446549415588379,17.22906494140625,4.150790881435277,-3.446549654031024,0.027516304082920485
TD3,100,0.0003,128,,abs,1.9775646924972534,6.265602111816406,2.5031184773830435,-1.9775647747854093,-0.0015058340493017376
TD3,100,0.0003,256,,abs,3.7892894744873047,21.148183822631836,4.59871545354046,-3.7892892166768894,0.03321792991333926
TD3,100,0.0003,512,,abs,2.1184377670288086,6.974101543426514,2.6408524274231064,-2.1184377264686827,-0.0011552746204461495
DDPG,100,0.0003,64,,abs,2.069659471511841,6.672408103942871,2.5831004827421777,-2.0696593995233274,0.005520905816699771
DDPG,100,0.0003,128,,abs,3.971940040588379,22.136980056762695,4.704995223883091,-3.9719399117410075,0.028758340639240584
DDPG,100,0.0003,256,,abs,3.5246386528015137,17.576993942260742,4.19249256913602,-3.5246384349729425,0.017651854890643016
DDPG,100,0.0003,512,,abs,2.0016565322875977,6.374551296234131,2.524787376440664,-2.001656336647692,-0.001554955042812194

SAC,100,0.001,256,0.0,abs,2.4064440727233887,8.750691413879395,2.958156759517554,-2.4064441758120036,0.011448892876424484
PPO,100,0.0003,64,0.005,abs,1.780947208404541,4.972163677215576,2.2298348990935577,-1.7809470696939556,0.0027843755417272086
TD3,100,0.0001,128,,abs,2.3468306064605713,8.705469131469727,2.950503199705048,-2.3468305132327116,-0.005313700610299019
DDPG,100,0.0001,64,,abs,1.9684016704559326,6.064873695373535,2.462696427774551,-1.9684016029470774,-0.0010268476218347055

SAC,100,0.001,256,auto,abs,2.0140926837921143,6.4128570556640625,2.5323619519460605,-2.0140928039808,0.0020158520999008413
SAC,100,0.001,256,0.0,abs,2.4064440727233887,8.750691413879395,2.958156759517554,-2.4064441758120036,0.011448892876424484
SAC,100,0.001,256,0.005,abs,2.0950586795806885,6.855441093444824,2.6182897267958762,-2.0950586238914184,0.0017825804476592655
SAC,100,0.001,256,0.01,abs,2.071300745010376,6.778892517089844,2.603630641448561,-2.0713007464176045,-0.001920677227942853
SAC,100,0.001,256,0.05,abs,2.1015005111694336,6.9274582862854,2.6320065133440305,-2.1015004439979426,0.0002834673579506619
SAC,100,0.001,256,0.1,abs,2.088653087615967,6.865721702575684,2.6202522211756034,-2.088653289831193,-4.696427680802806e-05
PPO,100,0.0003,64,0.0,abs,1.7820481061935425,4.973793983459473,2.2302004357141247,-1.7820482743941382,0.0023288011867971135
PPO,100,0.0003,64,0.005,abs,1.780947208404541,4.972163677215576,2.2298348990935577,-1.7809470696939556,0.0027843755417272086
PPO,100,0.0003,64,0.01,abs,2.227724552154541,7.752562046051025,2.784342300445659,-2.2277247584869095,0.0025022494434994757
PPO,100,0.0003,64,0.05,abs,1.929467797279358,5.699503421783447,2.3873632781341527,-1.9294679259365042,0.007717951873094529
PPO,100,0.0003,64,0.1,abs,1.971254825592041,6.142996311187744,2.4785068713214704,-1.9712549222575262,5.1593536093232915e-05

SAC,100,0.0001,256,auto,abs,2.1971640586853027,7.653892993927002,2.766567005139583,-2.1971640664931034,-0.0023617472793329773
SAC,100,0.0003,256,auto,abs,2.0477519035339355,6.585285663604736,2.566181143957834,-2.047751961719864,-0.00048437480627431026
SAC,100,0.001,256,auto,abs,2.0140926837921143,6.4128570556640625,2.5323619519460605,-2.0140928039808,0.0020158520999008413
PPO,100,0.0001,64,0.0,abs,1.8167724609375,5.187654495239258,2.2776423106447723,-1.8167724496049031,0.0030010585465457696
PPO,100,0.0003,64,0.0,abs,1.7820481061935425,4.973793983459473,2.2302004357141247,-1.7820482743941382,0.0023288011867971135
PPO,100,0.001,64,0.0,abs,1.8091545104980469,5.067755699157715,2.2511676301772185,-1.8091544565433466,0.0041710658504278955
TD3,100,0.0001,256,,abs,2.0103518962860107,6.464598178863525,2.542557409157859,-2.0103518528822044,0.00023479450900975918
TD3,100,0.0003,256,,abs,3.7892894744873047,21.148183822631836,4.59871545354046,-3.7892892166768894,0.03321792991333926
TD3,100,0.001,256,,abs,4.039284706115723,23.416715621948242,4.839082105311734,-4.039284477717425,0.03576600724571565
DDPG,100,0.0001,256,,abs,2.4398996829986572,9.207024574279785,3.034307923444782,-2.4398997245286824,0.015095634708687128
DDPG,100,0.0003,256,,abs,3.5246386528015137,17.576993942260742,4.19249256913602,-3.5246384349729425,0.017651854890643016
DDPG,100,0.001,256,,abs,2.811284065246582,12.21866226196289,3.4955203134816553,-2.811284135775311,0.02583779402411676

SAC,50,0.0003,256,auto,abs,2.1388580799102783,7.313020706176758,2.70425973349025,-2.1388579910711036,-0.001063671370659116
SAC,100,0.0003,256,auto,abs,2.002432346343994,6.603381156921387,2.569704488247897,-2.002432348129886,0.001143011329777861
SAC,200,0.0003,256,auto,abs,1.9750431776046753,6.1713337898254395,2.484216936949235,-1.975043067304693,0.002360099668908151
SAC,300,0.0003,256,auto,abs,2.273301601409912,8.578428268432617,2.928895400732607,-2.27330156178264,0.008589798983532428
SAC,400,0.0003,256,auto,abs,2.0940628051757812,6.869152069091797,2.6209067265150425,-2.0940628555370053,0.004460480128111079
PPO,50,0.0003,256,0.0,abs,1.802152156829834,5.119658946990967,2.262666335762073,-1.8021521113004826,0.0031271751251534074
